Brand,Price,Rating,Ratings Count,Condition,Seller Note,Processor,Screen Size,Manufacturer Color,Color,Ram Size,SSD Capacity,GPU,Processor Speed,Type,Release Year,Maximum Resolution,Model,OS,Features,Hard Drive Capacity,Country Region Of Manufacture,Storage Type,,,,,,
Lenovo,$159.99 ,NA,NA,"Very Good - RefurbishedThe item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished,  inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab","“Our laptops go through an INTENSIVE 41-point inspection. Refurbished by certified professionals, ...  Read moreabout the seller notes“Our laptops go through an INTENSIVE 41-point inspection. Refurbished by certified professionals, this laptop comes with a 90-day warranty. Our laptops are in very good refurbished condition, which means they may have scratches, scuffs, and/or small dings which DO NOT affect the functionality of the laptop. These pictures are representative of the condition of the unit you will receive. The ports that are pictured may not be on your unit. Please contact us to confirm if there is a specific port you are looking for. If you have any questions regarding our cosmetic grading, please feel free to ask us. F5, C6 - Non-Data; Very Good - Refurbished” Read Lessabout the seller notes ",Intel Core i3 8th Gen.,15.6 in,NA,NA,8 GB,240GB,Intel UHD Graphics 620,2.10 GHz,Notebook/Laptop,2018,NA,Lenovo ThinkPad E590,Windows 10 Pro,"Bluetooth, Built-in Microphone, Built-in Webcam, Multi-Touch Trackpad, Wi-Fi",NA,NA,SSD (Solid State Drive),,,NA,NA,NA,NA
Lenovo,$259.00 ,NA,NA,NA,NA,Intel Core i3 11th Gen.,14 in,NA,Gray,4 GB,128 GB,Intel UHD Graphics,3.00 GHz,Notebook/Laptop,2022,1920 x 1080,Lenovo IdeaPad 3,Windows 11 Home,"5G, Bluetooth, Built-in Webcam, Wi-Fi, Built-in Microphone",128 GB,NA,SSD (Solid State Drive),,,NA,NA,NA,NA
Huawei,$695.00 ,NA,NA,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",NA,11th Gen Intel Core i5-1135G7,15.6 in,NA,Silver,8 GB,512 GB,Intel Iris Xe Graphics,Windows 10 Home (FREE Upgrade to Windows 11* ),Notebook/Laptop,2021,1920 x 1080,MateBook D15 11th Gen,NA,"Bluetooth, Built-in Microphone, Built-in Webcam, Widescreen Display, Wi-Fi, Fingerprint Power Button",NA,NA,SSD (Solid State Drive),,,NA,NA,NA,NA
HP,$169.99 ,NA,NA,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab",“Great Condition”,Intel Core i5 6th Gen.,15.6 in,NA,NA,16 GB,256 GB,NA,2.40 GHz,Notebook/Laptop,NA,1920 x 1080,HP Elitebook 850 G3,Windows 10,"Backlit Keyboard, Bluetooth, Built-in Webcam, Wi-Fi",256 GB,NA,SSD (Solid State Drive),,,NA,NA,NA,NA
HP,$265.50 ,NA,NA,"Good - RefurbishedThe item shows moderate wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to good condition by qualified sellers. The item includes original or new accessories and will come in a new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab","“Ship within 1-Day. Overnight or 2-days options are available.  Clean excellent condition with no ...  Read moreabout the seller notes“Ship within 1-Day. Overnight or 2-days options are available.  Clean excellent condition with no major scratches and dents. For every computer we sell, we go through the process of loading fresh Windows operating system and testing all major functions. We guarantee fully working upon receipt. All laptops come with AC adapter/charger and working battery. Although we cannot guarantee on how long battery holds charge, we test them to make sure it holds charge. If you would like to customize with your desired configurations such as with Larger HDD, SSD or more Memory, please contact us for upgrade pricing. If you would like to have a windows recovery partition on your hard drive, please email us through eBay message AFTER you place the order. We can create one for you at free of charge.” Read Lessabout the seller notes ",Intel Core i7 1st Gen.,15 in,NA,Silver,16 GB,1 TB,AMD FirePro M5800 w/ 1GB DDR3,1.9 GHz,Notebook/Laptop,NA,1600x900,HP EliteBook 8540W,Windows 10,"10/100 LAN Card, Bluetooth, Built-in Microphone, Optical Drive, Wi-Fi, Widescreen Display",NA,NA,SSD (Solid State Drive),,,NA,NA,NA,NA
Lenovo,$249.00 ,NA,NA,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",NA,11 Gen intel Core i3,14 in,NA,Black,8 GB,128 GB,Intel UHD Graphics,3.00 GHz,Notebook/Laptop,2022,1920 x 1080,LENOVO L14 11Gen,Windows 11 Pro,Touchscreen,128 GB,NA,SSD (Solid State Drive),,,NA,NA,NA,NA
Lenovo,$379.99 ,NA,NA,"Excellent - RefurbishedThe item is in like-new condition, backed by a one year warranty. It has been professionally refurbished, inspected and cleaned to excellent condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab",“fully tested one year warranty”,Intel Core i7 7th Gen.,14 in,NA,NA,32 GB,2 TB,NA,2.80 GHz,Notebook/Laptop,NA,1920 x 1080,Thinkpad T470 i7-7600U,Windows 11 Pro,"Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam",2 TB,NA,HDD (Hard Disk Drive),,,NA,NA,NA,NA
Gateway,$349.99 ,5 out of 5 stars,2,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",NA,Intel Core i5 11th Gen.,14.1 in,NA,Green,16 GB,512 GB,Intel Iris Xe Graphics,2.40 GHz,Notebook/Laptop,NA,1920 x 1080,Gateway GWTN141-10GR,Windows 10,NA,512 GB,NA,SSD (Solid State Drive),,,NA,NA,NA,NA
HP,$908.53 ,NA,NA,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab",“Genuine HP original manufacturer renewed product in brand new condition. Packaged in the HP ...  Read moreabout the seller notes“Genuine HP original manufacturer renewed product in brand new condition. Packaged in the HP original factory sealed box with 1 Year HP Direct Support and Warranty” Read Lessabout the seller notes ,Intel Core i7-1265U,13.5 in,NA,NA,16 GB,512 GB,NA,NA,Notebook/Laptop,NA,NA,NA,Windows 11 Pro,"5G, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",NA,NA,NA,,,NA,NA,NA,NA
Dell,$329.00 ,NA,NA,NA,NA,Intel Core i7 7th Gen.,15.6 in,NA,Black,16 GB,512 GB,Intel HD Graphics,2.90 GHz,Notebook/Laptop,2017,1920 x 1080,Dell Latitude 15 5580,Windows 10 Pro,"Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, 10/100 LAN Card, Multi-Touch Trackpad, Backlit Keyboard, Built-in Microphone",512 GB,NA,SSD (Solid State Drive),,,NA,NA,NA,NA
Dell,$199.99 ,NA,NA,"Very Good - RefurbishedThe item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished,  inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab","“Pre-Owned., Tested working System.  Fresh install of windows. Excellent product.”",Intel Core i5 6th Gen.,15.6 in,NA,Black,16 GB,256 GB,Intel HD Graphics 530,NA,Notebook/Laptop,2017,1366 x 768,Dell Latitude E5570,Windows 11 Pro,"Bluetooth, Wi-Fi, Built-in Microphone",256 GB,NA,SSD (Solid State Drive),,,NA,NA,NA,NA
ASUS,$159.00 ,NA,NA,"Open boxAn item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. See all condition definitionsopens in a new window or tab","“open box, included: unit with keyboard, wall charger, micro usb, manual and original box”",Intel Atom Quad-Core,10.1 in,NA,Blue,4 GB,64 GB,NA,1.46 GHz,Notebook/Laptop,2015,1920 x 1200,ASUS Transformer Book,Windows 10,"Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Stylus, Touchscreen, Widescreen Display, Wi-Fi",64 GB,NA,eMMC,,,NA,NA,NA,NA
Lenovo,$219.99 ,5 out of 5 stars,1,NA,NA,Intel Pentium,15.6 in,NA,Blue,4 GB,128 GB,Intel UHD Graphics,1.10 GHz,Notebook/Laptop,NA,1920 x 1080,NA,Windows 11 Home,"Wi-Fi, Built-in Microphone, Bluetooth, Built-in Webcam",128 GB,NA,eMMC,,,NA,NA,NA,NA
Dell,$74.99 ,NA,NA,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab",“Signs of normal wear and tear. No charger included!”,Intel Core i5 7th Gen.,14 in,NA,NA,8 GB,128 GB,Intel HD Graphics,2.60 GHz,Notebook/Laptop,NA,1366 x 768,Dell Latitude 5480,Windows 10 Pro,NA,NA,NA,SSD (Solid State Drive),,,NA,NA,NA,NA
Dell,$599.00 ,5 out of 5 stars,1,NA,NA,Intel Core i7 11th Gen.,15.6 in,5000,Gray,16 GB,512 GB,Iris Xe Graphics,3.00 GHz,Notebook/Laptop,2021,1920 x 1080,Dell Latitude 5520,Windows 10 Pro,NA,NA,NA,SSD (Solid State Drive),,,NA,NA,NA,NA
Microsoft,$529.00 ,NA,NA,NA,NA,Intel Core i5 11th Gen.,13.5 in,Sandstone,Brown,8 GB,512 GB,Intel Iris Xe Graphics,2.40 GHz,Notebook/Laptop,2021,2256 x 1504,Microsoft Surface Laptop 4,Windows 10 Home,"Touchscreen, Backlit Keyboard",NA,NA,SSD (Solid State Drive),,,NA,NA,NA,NA
ASUS,$275.00 ,NA,NA,"For parts or not working: An item that does not function as intended and is not fully operational. ...  Read moreabout the conditionFor parts or not working: An item that does not function as intended and is not fully operational. This includes items that are defective in ways that render them difficult to use, items that require service or repair, or items missing essential components. See the seller’s listing for full details. See all condition definitionsopens in a new window or tab ",NA,AMD Ryzen 5,15.6 in,NA,NA,8 GB,256GB,NVIDIA GeForce GTX 1650,NA,Notebook/Laptop,NA,1920 x 1080,FX505DT,NA,Built-in Webcam,Not Applicable,NA,NA,,,NA,NA,NA,NA
Dell,$679.00 ,NA,NA,"Excellent - RefurbishedThe item is in like-new condition, backed by a one year warranty. It has been professionally refurbished, inspected and cleaned to excellent condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab","“This Dell laptop is in EXCELLENT condition. May have very minor signs of wear, but otherwise the ...  Read moreabout the seller notes“This Dell laptop is in EXCELLENT condition. May have very minor signs of wear, but otherwise the laptop is in excellent condition overall! Screen is flawless.” Read Lessabout the seller notes ",Intel Core i7 11th Gen.,15.6 in,NA,NA,NA,512 GB,NA,NA,Notebook/Laptop,NA,NA,Dell Latitude E5520,Windows 11 Pro,NA,NA,NA,NA,,,NA,NA,NA,NA
Dell,$139.99 ,NA,NA,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab","“Fully Tested, Minor Wear, excellent Laptop- One Year Warranty, Models shipped at Random D620, D630, ...  Read moreabout the seller notes“Fully Tested, Minor Wear, excellent Laptop- One Year Warranty, Models shipped at Random D620, D630, or e5500 or Similar Laptop” Read Lessabout the seller notes ",NA,"14""",NA,Gray,NA,Not Applicable,NA,1.66 GHz,Notebook,NA,NA,"d620, d630, e5500 or similar",Windows XP,NA,80GB,Ireland,HDD (Hard Disk Drive),,,NA,NA,NA,NA
HP,$494.99 ,NA,NA,"Very Good - RefurbishedThe item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished,  inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab",“AAA PCs is a Microsoft Authorized Refurbisher Partner. (MAR) Your computer will ship securely in a ...  Read moreabout the seller notes“AAA PCs is a Microsoft Authorized Refurbisher Partner. (MAR) Your computer will ship securely in a new brown box to ensure a great delivery experience. Minimal imperfections may be present such as light scuffs. Genuine AC adapter & battery included with your order.” Read Lessabout the seller notes ,Intel Core i7 8th Gen.,14 in,NA,Silver,32 GB,1 TB,Intel UHD Graphics 620,4.20 GHz,Notebook/Laptop,Refurbished in 2023,1920 x 1080,HP Elitebook 840 G6,Windows 11 Pro,"Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  LTE,  Multi-Touch Trackpad,  Widescreen Display,  Wi-Fi",1 TB,NA,SSD (Solid State Drive),,,NA,NA,NA,NA
Dell,$109.99 ,4.5 out of 5 stars,75,NA,NA,Intel Celeron,11.6 in,NA,Black,4 GB,NA,Intel HD Graphics,2.16 GHz,Laptop,NA,1366 x 768,Chromebook,Chrome OS,"Bluetooth, Wi-Fi",NA,NA,eMMC,,,NA,NA,NA,NA
Lenovo,$45.00 ,4.5 out of 5 stars,11,NA,NA,Intel Celeron N,11.6 in,NA,Black,4 GB,16 GB,Intel HD Graphics 400,1.60 GHz,Notebook/Laptop,NA,1366 x 768,Lenovo N23 Chromebook,Chrome OS,"Bluetooth, Built-in Webcam, Backlit Keyboard",NA,NA,SSD (Solid State Drive),,,NA,NA,NA,NA
HP,$389.45 ,NA,NA,"Certified - RefurbishedThe item is in pristine, like-new condition. It has been professionally inspected, cleaned, and refurbished by the manufacturer or a manufacturer-approved vendor to meet manufacturer specifications. The item will be in new packaging with original or new accessories. See the seller's listing for full details. See all condition definitionsopens in a new window or tab",“** We are HP authorized reseller **.  It is factory certified refurbished in HP brown box and comes ...  Read moreabout the seller notes“** We are HP authorized reseller **.  It is factory certified refurbished in HP brown box and comes with 2 year Allstate warranty (valid in USA only).” Read Lessabout the seller notes ,Intel Celeron,17.3,Peacock Teal,Green,8 GB,512 GB,Intel UHD Graphic,3.50 GHz,Notebook/Laptop,2022,1600 x 900,17t-CTO,Windows 11 Home,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Touchscreen,  Wi-Fi",NA,NA,SSD (Solid State Drive),,,NA,NA,NA,NA
Intel,$892.92 ,NA,NA,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab","“This item has been harvested from a working environment. It may have some signs of cosmetic wear, ...  Read moreabout the seller notes“This item has been harvested from a working environment. It may have some signs of cosmetic wear, but it has been tested by our professional staff to be fully operational and functioning as intended.” Read Lessabout the seller notes ",E3-1505M v6,17.3 in,NA,Black,64 GB,1TB + 1TB,NVIDIA Quadro P5000,3.00 GHz,NA,NA,1920 x 1080,HP ZBook 17 G4,Windows 11 Pro,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Touchscreen,  Wi-Fi",NA,NA,M.2 NVMe,,,NA,NA,NA,NA
Microsoft,$679.99 ,5 out of 5 stars,1,NA,NA,Intel Core i5 11th Gen.,12.3 in,Platinum,Silver,16 GB,256 GB,Intel Iris Xe Graphics,2.40 GHz,Convertible 2-in-1 Laptop/Tablet,2021,2736 x 1824,Microsoft Surface Pro 7+,Windows 10 Pro,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi",NA,NA,SSD (Solid State Drive),,,NA,NA,NA,NA
Lenovo,$128.99 ,NA,NA,"Open box: An item in excellent, new condition with no wear. The item may be missing the original ...  Read moreabout the conditionOpen box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. See all condition definitionsopens in a new window or tab ",NA,Intel Celeron,14 in,NA,Abyss Blue,4 GB,64 GB,Intel UHD Graphics 600,1.10 GHz,Chromebook,NA,1366 x 768,Lenovo Chromebook 82C1,Chrome OS,"Bluetooth, Wi-Fi",64 GB,NA,eMMC,,,NA,NA,NA,NA
Lenovo,$234.91 ,NA,NA,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab",“Fully professional tested in perfect working order. System upgraded/dispatched.”,Intel® Core™ i7 i7-6500U,14 in,NA,NA,8 GB,256 GB,NA,2.50 GHz,Ultrabook,NA,1920 x 1080,Lenovo ThinkPad X1 Yoga,Windows 11,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Touchscreen,  Wi-Fi",NA,NA,SSD (Solid State Drive),,,NA,NA,NA,NA
Dell,$99.95 ,NA,NA,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",NA,Intel Core i7 3rd Gen.,13.3 in,NA,NA,8 GB,128 GB,NA,NA,Notebook/Laptop,NA,1366 x 768,DELL LATITUDE E6330,Windows 10 Pro,NA,NA,NA,SSD (Solid State Drive),,,NA,NA,NA,NA
Panasonic,$99.99 ,NA,NA,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",NA,FZ-G1,10.1 in,NA,NA,8 GB,256 GB,NA,NA,NA,NA,NA,Panasonic FZ-G1,Windows 10 Pro,Rugged,8 GB,NA,SSD (Solid State Drive),,,NA,NA,NA,NA
Dell,$265.00 ,NA,NA,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab","“Powerful – Light Weight – Great Cosmetic. This laptop has been professionally “Fresh Installed” and ...  Read moreabout the seller notes“Powerful – Light Weight – Great Cosmetic. This laptop has been professionally “Fresh Installed” and tested working 100%. Please, check the pictures and read the full description.” Read Lessabout the seller notes ",Intel i7-8665U QuadCore 8th Gen,14 in,NA,Black,16 GB,512 GB,Intel UHD Graphics,1.9 GHz,Ultrabook,2019,1920 x 1080,Dell Latitude 7400,Windows 11 Pro,"Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Touchscreen,  Micro SD Card Reader,  Smart Card Reader",NA,China,SSD (Solid State Drive),,,NA,NA,NA,NA
Lenovo,$329.95 ,NA,NA,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",NA,AMD Ryzen 5 5500U,14 in,NA,Cloud Grey,8 GB,256 GB,AMD Radeon 7 Graphics,NA,Notebook/Laptop,NA,NA,Lenovo Ideapad 1,Windows 11 Home,NA,NA,NA,SSD (Solid State Drive),,,NA,NA,NA,NA
Lenovo,$164.30 ,NA,NA,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab",“Good Condition**Comes with Win11 installed**Bios Lock***”,Intel Core i5 8th Gen.,14 in,NA,NA,8 GB,256 GB,Intel HD Graphics 620,2.60 GHz,Notebook/Laptop,NA,1920 x 1080,Lenovo T480,Windows 11 Pro,"10/100 LAN Card, Bluetooth, Built-in Microphone, Built-in Webcam, Fingerprint Scanner",NA,NA,SSD (Solid State Drive),,,NA,NA,NA,NA
Lenovo,$79.00 ,NA,NA,"Very Good - RefurbishedThe item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished,  inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab","“This device has been certified by our industry-leading mobile diagnostic software to be 100% fully ...  Read moreabout the seller notes“This device has been certified by our industry-leading mobile diagnostic software to be 100% fully functional. It is in Very Good cosmetic condition showing no signs of use. A generic wall charger is included. Original packaging is NOT included, comes in a white or brown box.” Read Lessabout the seller notes ",Radeon R4 Dual-Core,14 in,NA,Gray,4 GB,32 GB,AMD Radeon R4,1.60 GHz,Notebook/Laptop,2019,1920 x 1080,Lenovo Chromebook 14e,Chrome OS,"Built-in Microphone,Built-in Webcam,Wi-Fi",NA,NA,SSD (Solid State Drive),,,NA,NA,NA,NA
Lenovo,$99.00 ,NA,NA,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",NA,Intel Core i5 10th Gen.,15.6 in,NA,NA,NA,NA,Intel HD Graphics 520,1.60 GHz,Notebook/Laptop,NA,1920 x 1080,Lenovo ThinkPad E15,NA,NA,NA,NA,Hard Drive,,,NA,NA,NA,NA
Alienware,"$3,901.00 ",NA,NA,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",NA,Intel Core i9 13th Gen.,18 in,NA,Black,64 GB,4 GB,NVIDIA GeForce RTX 4090,NA,Notebook/Laptop,2023,NA,Alienware 18,Windows 11 Home,NA,4 TB,NA,SSD (Solid State Drive),,,NA,NA,NA,NA
Lenovo,$229.00 ,NA,NA,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab","“Used, tested and working.  Laptops are in excellent condition with minimal wear.  Screen have no ...  Read moreabout the seller notes“Used, tested and working.  Laptops are in excellent condition with minimal wear.  Screen have no dead pixels or spots.  AC adapter included.” Read Lessabout the seller notes ",Intel Core i5 8th Gen.,14 in,NA,NA,16 GB,256 GB,NA,1.7 GHz,Notebook/Laptop,NA,1920 x 1080,Lenovo ThinkPad T480,Windows 11 Pro,"10/100 LAN Card,  Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Widescreen Display,  Wi-Fi",NA,NA,SSD (Solid State Drive),,,NA,NA,NA,NA
Lenovo,$197.30 ,NA,NA,"Very Good - Refurbished: The item shows minimal wear and is backed by a one year warranty. It is ...  Read moreabout the conditionVery Good - Refurbished: The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished,  inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",NA,Intel Core i5 8th Gen.,12.5 in,NA,NA,8 GB,128 GB,NA,1.70 GHz,Notebook/Laptop,NA,NA,Lenovo ThinkPad X280,Windows 11,NA,NA,NA,SSD (Solid State Drive),,,NA,NA,NA,NA
Metabox,$263.28 ,NA,NA,"Very Good - Refurbished: The item shows minimal wear and is backed by a one year warranty. It is ...  Read moreabout the conditionVery Good - Refurbished: The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished,  inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",NA,Intel Core i7 7th Gen.,15.6 in,NA,NA,8 GB,256 GB,NA,2.80 GHz,Notebook/Laptop,NA,NA,Metabox N850HJ,Windows 10,NA,NA,NA,SSD (Solid State Drive),,,NA,NA,NA,NA
Different,$113.87 to $417.57,NA,NA,"Good - RefurbishedThe item shows moderate wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to good condition by qualified sellers. The item includes original or new accessories and will come in a new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab","“Very good condition. Photos are for illustration purpose, May have some sign on previous use, i.e. ...  Read moreabout the seller notes“Very good condition. Photos are for illustration purpose, May have some sign on previous use, i.e. small scratches on lid and outer body.” Read Lessabout the seller notes ",Intel Core i3/i5,"12.5"" or above",NA,NA,16 GB,256 GB / 512GB / 1TB SSD,Intel HD Graphics,1.70 GHz to 2.40GHz,Notebook/Laptop,Various,1366 x 768,Various,Windows 10/11 Pro,"Built-in Webcam, Widescreen Display, Wi-Fi",1 TB,NA,HDD/SSD,,,NA,NA,NA,NA
Lenovo,$159.99 ,NA,NA,"Very Good - RefurbishedThe item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished,  inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab","“Our laptops go through an INTENSIVE 41-point inspection. Refurbished by certified professionals, ...  Read moreabout the seller notes“Our laptops go through an INTENSIVE 41-point inspection. Refurbished by certified professionals, this laptop comes with a 90-day warranty. Our laptops are in very good refurbished condition, which means they may have scratches, scuffs, and/or small dings which DO NOT affect the functionality of the laptop. These pictures are representative of the condition of the unit you will receive. The ports that are pictured may not be on your unit. Please contact us to confirm if there is a specific port you are looking for. If you have any questions regarding our cosmetic grading, please feel free to ask us. F5, C6 - Non-Data; Very Good - Refurbished” Read Lessabout the seller notes ",Intel Core i5 6th Gen.,14 in,NA,NA,8 GB,120 GB,NA,NA,Notebook/Laptop,2016,NA,Lenovo ThinkPad T460,Windows 10 Pro,"Multi-Touch Trackpad,  Wi-Fi",NA,NA,SSD (Solid State Drive),,,NA,NA,NA,NA
NA,$348.05 ,NA,NA,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",NA,NA,NA,NA,NA,NA,NA,INTEL UHD 620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA
Orbitkey,$64.62 ,NA,NA,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA
